From;To;Type;Through;start_x;start_y;stop_x;stop_y;adjacency_rule_name;Comment
10910;1991;impassable;-1;-1;-1;-1;-1;;Himalayas
10910;12807;impassable;-1;-1;-1;-1;-1;;Himalayas
12730;2098;impassable;-1;-1;-1;-1;-1;;Himalayas
12730;5018;impassable;-1;-1;-1;-1;-1;;Himalayas
10810;5018;impassable;-1;-1;-1;-1;-1;;Himalayas
1996;5018;impassable;-1;-1;-1;-1;-1;;Himalayas
1996;8041;impassable;-1;-1;-1;-1;-1;;Himalayas
1996;5102;impassable;-1;-1;-1;-1;-1;;Himalayas
1898;8029;impassable;-1;-1;-1;-1;-1;;Himalayas
1898;1961;impassable;-1;-1;-1;-1;-1;;Himalayas
3989;1961;impassable;-1;-1;-1;-1;-1;;Himalayas
1129;1961;impassable;-1;-1;-1;-1;-1;;Himalayas
4318;12789;impassable;-1;-1;-1;-1;-1;;Himalayas
4996;12789;impassable;-1;-1;-1;-1;-1;;Himalayas
4996;12898;impassable;-1;-1;-1;-1;-1;;Himalayas
4996;10863;impassable;-1;-1;-1;-1;-1;;Himalayas
4210;7976;impassable;-1;-1;-1;-1;-1;;Himalayas
4210;5009;impassable;-1;-1;-1;-1;-1;;Himalayas
4210;10413;impassable;-1;-1;-1;-1;-1;;Himalayas
7400;10413;impassable;-1;-1;-1;-1;-1;;Himalayas
7909;10413;impassable;-1;-1;-1;-1;-1;;Himalayas
4558;10826;impassable;-1;-1;-1;-1;-1;;peshawar mountains
4558;12653;impassable;-1;-1;-1;-1;-1;;peshawar mountains
4558;7519;impassable;-1;-1;-1;-1;-1;;peshawar mountains
12763;10826;impassable;-1;-1;-1;-1;-1;;peshawar mountains
2084;7519;impassable;-1;-1;-1;-1;-1;;peshawar mountains
10821;7519;impassable;-1;-1;-1;-1;-1;;peshawar mountains
2041;7519;impassable;-1;-1;-1;-1;-1;;peshawar mountains
4998;12831;impassable;-1;-1;-1;-1;-1;;peshawar mountains
4998;5082;impassable;-1;-1;-1;-1;-1;;peshawar mountains
7975;8090;impassable;-1;-1;-1;-1;-1;;peshawar mountains
8044;8090;impassable;-1;-1;-1;-1;-1;;peshawar mountains
8044;5064;impassable;-1;-1;-1;-1;-1;;peshawar mountains
2076;8090;impassable;-1;-1;-1;-1;-1;;peshawar mountains
2076;5082;impassable;-1;-1;-1;-1;-1;;peshawar mountains
2076;12831;impassable;-1;-1;-1;-1;-1;;peshawar mountains
12805;7519;impassable;-1;-1;-1;-1;-1;;stalinabad mountains
12805;5087;impassable;-1;-1;-1;-1;-1;;stalinabad mountains
12805;1766;impassable;-1;-1;-1;-1;-1;;stalinabad mountains
10417;7519;impassable;-1;-1;-1;-1;-1;;stalinabad mountains
10417;12653;impassable;-1;-1;-1;-1;-1;;stalinabad mountains
8027;12653;impassable;-1;-1;-1;-1;-1;;stalinabad mountains
7224;12653;impassable;-1;-1;-1;-1;-1;;stalinabad mountains
7224;12314;impassable;-1;-1;-1;-1;-1;;stalinabad mountains
12218;12314;impassable;-1;-1;-1;-1;-1;;stalinabad mountains
12370;1766;impassable;-1;-1;-1;-1;-1;;pamir mountains
12370;12119;impassable;-1;-1;-1;-1;-1;;pamir mountains
5062;12119;impassable;-1;-1;-1;-1;-1;;pamir mountains
5062;4828;impassable;-1;-1;-1;-1;-1;;pamir mountains
4768;4828;impassable;-1;-1;-1;-1;-1;;pamir mountains
4391;4828;impassable;-1;-1;-1;-1;-1;;pamir mountains
4391;1703;impassable;-1;-1;-1;-1;-1;;pamir mountains
4391;12526;impassable;-1;-1;-1;-1;-1;;pamir mountains
9047;3059;impassable;-1;-1;-1;-1;-1;;norway
9047;11037;impassable;-1;-1;-1;-1;-1;;norway
6216;11037;impassable;-1;-1;-1;-1;-1;;norway
6216;6136;impassable;-1;-1;-1;-1;-1;;norway
6204;6136;impassable;-1;-1;-1;-1;-1;;norway
6111;6152;impassable;-1;-1;-1;-1;-1;;norway-north
173;9175;impassable;-1;-1;-1;-1;-1;;norway-north
6214;9175;impassable;-1;-1;-1;-1;-1;;norway-north
6214;11058;impassable;-1;-1;-1;-1;-1;;norway-north
9126;11058;impassable;-1;-1;-1;-1;-1;;norway-north
9126;58;impassable;-1;-1;-1;-1;-1;;norway-north
9126;6155;impassable;-1;-1;-1;-1;-1;;norway-north
3132;6155;impassable;-1;-1;-1;-1;-1;;norway-north
3034;6155;impassable;-1;-1;-1;-1;-1;;norway-north
3183;6207;impassable;-1;-1;-1;-1;-1;;norway-north
11118;6207;impassable;-1;-1;-1;-1;-1;;norway-north
11118;3111;impassable;-1;-1;-1;-1;-1;;norway-north
115;3111;impassable;-1;-1;-1;-1;-1;;norway-north
115;9066;impassable;-1;-1;-1;-1;-1;;norway-north
11173;9066;impassable;-1;-1;-1;-1;-1;;norway-north
11173;168;impassable;-1;-1;-1;-1;-1;;norway-north
3098;168;impassable;-1;-1;-1;-1;-1;;norway-north
3098;6185;impassable;-1;-1;-1;-1;-1;;norway-north
3098;9171;impassable;-1;-1;-1;-1;-1;;norway-north
9069;9171;impassable;-1;-1;-1;-1;-1;;norway-north
9069;9095;impassable;-1;-1;-1;-1;-1;;norway-north
9208;9095;impassable;-1;-1;-1;-1;-1;;norway-north
6111;9095;impassable;-1;-1;-1;-1;-1;;norway-north
6012;142;impassable;-1;-1;-1;-1;-1;;Finland-Karelia
6012;9203;impassable;-1;-1;-1;-1;-1;;Finland-Karelia
6012;74;impassable;-1;-1;-1;-1;-1;;Finland-Karelia
6183;74;impassable;-1;-1;-1;-1;-1;;Finland-Karelia
6128;74;impassable;-1;-1;-1;-1;-1;;Finland-Karelia
11085;74;impassable;-1;-1;-1;-1;-1;;Finland-Karelia
197;11181;impassable;-1;-1;-1;-1;-1;;Finland-Karelia
197;9123;impassable;-1;-1;-1;-1;-1;;Finland-Karelia
9158;11181;impassable;-1;-1;-1;-1;-1;;Finland-Karelia
9158;9198;impassable;-1;-1;-1;-1;-1;;Finland-Karelia
9158;9074;impassable;-1;-1;-1;-1;-1;;Finland-Karelia
6045;9074;impassable;-1;-1;-1;-1;-1;;Finland-Karelia
6134;6175;impassable;-1;-1;-1;-1;-1;;Finland-Karelia
6449;12442;sea;2871;-1;-1;-1;-1;;Chanel Islands
13335;13346;sea;2781;-1;-1;-1;-1;;korea state link
2196;13513;sea;5394;-1;-1;-1;-1;;zanzibar
13420;8051;sea;2691;-1;-1;-1;-1;;qatar bahrein
13420;12702;sea;2691;-1;-1;-1;-1;;damman bahrein
13365;11767;sea;5864;-1;-1;-1;-1;;Vlorë-Sazan
13371;10694;sea;8409;-1;-1;-1;-1;;Alaska
13330;13208;sea;5838;-1;-1;-1;-1;;Split Yugo
1918;4375;impassable;-1;-1;-1;-1;-1;;Sichuan
10973;5165;;-1;-1;-1;-1;-1;CHACO_IMPASSABLE;Chaco Impassable
10973;13245;;-1;-1;-1;-1;-1;CHACO_IMPASSABLE;Chaco Impassable
10973;4994;;-1;-1;-1;-1;-1;CHACO_IMPASSABLE;Chaco Impassable
10973;5356;;-1;-1;-1;-1;-1;CHACO_IMPASSABLE;Chaco Impassable
5165;13245;;-1;-1;-1;-1;-1;CHACO_IMPASSABLE;Chaco Impassable
5165;4226;;-1;-1;-1;-1;-1;CHACO_IMPASSABLE;Chaco Impassable
5165;8203;;-1;-1;-1;-1;-1;CHACO_IMPASSABLE;Chaco Impassable
5165;12916;;-1;-1;-1;-1;-1;CHACO_IMPASSABLE;Chaco Impassable
7295;10193;impassable;-1;-1;-1;-1;-1;;Thailand
7295;4348;impassable;-1;-1;-1;-1;-1;;Thailand
1385;4392;impassable;-1;-1;-1;-1;-1;;Thailand
1385;7587;impassable;-1;-1;-1;-1;-1;;Thailand
1296;4392;impassable;-1;-1;-1;-1;-1;;Thailand
1296;12122;impassable;-1;-1;-1;-1;-1;;Thailand
1296;12220;impassable;-1;-1;-1;-1;-1;;Thailand
12292;4392;impassable;-1;-1;-1;-1;-1;;Thailand
12125;10193;impassable;-1;-1;-1;-1;-1;;Thailand
12125;4566;impassable;-1;-1;-1;-1;-1;;Thailand
4408;7312;impassable;-1;-1;-1;-1;-1;;Thailand
12238;7312;impassable;-1;-1;-1;-1;-1;;Thailand
12238;1253;impassable;-1;-1;-1;-1;-1;;Thailand
4293;1253;impassable;-1;-1;-1;-1;-1;;Thailand
12317;1253;impassable;-1;-1;-1;-1;-1;;Thailand
12317;7675;impassable;-1;-1;-1;-1;-1;;Thailand
7647;7675;impassable;-1;-1;-1;-1;-1;;Thailand
4175;7675;impassable;-1;-1;-1;-1;-1;;Thailand
4175;10371;impassable;-1;-1;-1;-1;-1;;Thailand
12230;13996;sea;6007;-1;-1;-1;-1;;Phuket
-1;-1;;-1;-1;-1;-1;-1;-1;
